package,version
dplyr,0.8.4
riskmetric,0.1.0.9001
devtools,2.1.0
httr,1.4.1
units,0.6-6
curl,4.2
jsonlite,1.6
scales,1.0.0
cowsay,0.7.0
gridExtra,2.3
samplesize,0.2-4
SampleSize4ClinicalTrials,0.2.2
samplesize4surveys,4.1.1
samplesizeCMH,0.0.0
samplesizelogisticcasecontrol,0.0.6
SampleSizeMeans,1.1
SampleSizeProportions,1
sampling,2.8
SamplingBigData,1.0.0
samplingbook,1.2.2
samplingDataCRT,1
samplingEstimates,0.1-3
SamplingStrata,1.5-1
samplingVarEst,1.4
sampSurf,0.7-5
samr,3
SAMUR,0.6
SAMURAI,1.2.1
samurais,0.1.0
sand,1.0.3
sandwich,2.5-1
SanFranBeachWater,0.1.0
sanitizers,0.1.0
sankey,1.0.2
sankeywheel,0.1.0
santaR,1
santoku,0.3.0
SanzCircos,0.1.0
sanzo,0.1.0
saotd,0.2.0
sapa,2.0-2
sapfluxnetr,0.0.7
SAPP,1.0.7
saqgetr,0.1.19
SAR,1.0.1
sara4r,0.0.7
sarima,0.8.2
SARP.compo,0.1.3
SARP.moodle,0.3.10
sars,1.2.1
sas7bdat,0.5
SAScii,1
sasMap,1.0.0
SASmarkdown,0.4.3
SASmixed,1.0-4
SASPECT,0.1-1
sass,0.2.0
SASxport,1.7.0
sate,1.1.0
satellite,1.0.2
satscanMapper,1.0.1
saturnin,1.1.1
SAutomata,0.1.0
r.blip,1.1
R.cache,0.14.0
R.devices,2.16.1
R.filesets,2.13.0
R.huge,0.9.0
R.matlab,3.6.2
R.methodsS3,1.8.0
R.oo,1.23.0
R.rsp,0.43.2
R.SamBada,0.1.2
R.temis,0.1.2
R.utils,2.9.2
R0,1.2-6
R1magic,0.3.2
R2019nCoV,0.1.0
R2Addhaz,0.1.0
R2admb,0.7.16.2
R2BayesX,1.1-1
R2BEAT,1.0.1
r2d2,1.0-0
r2d3,0.2.3
R2DGC,1.0.3
r2dii.data,0.0.3
r2dii.match,0.0.1
r2dRue,1.0.4
R2DT,0.2
r2glmm,0.1.2
R2HTML,2.3.2
R2jags,0.5-7
R2MLwiN,0.8-6
R2OpenBUGS,3.2-3.2.1
r2pmml,0.24.0
R2PPT,2.1
r2rtf,0.1.1
r2sundials,5.0.0-7
R2SWF,0.9-2
R2ucare,1.0.0
R2wd,1.5
R2WinBUGS,2.1-21
R330,1
R3port,0.2.3
R4CouchDB,0.7.5
r4lineups,0.1.1
r4ss,1.36.1
r511,0.1.1
R6,2.4.1
R62S3,1.4.1
R6DS,1.2.0
r6extended,0.1.2
rabhit,0.1.4
rabi,1.0.2
RAC,1.5
RaceID,0.1.9
raceland,1.0.8
RAD,0.3
RADanalysis,0.5.5
radar,1.0.0
